age,Medu,Fedu,traveltime_math,studytime_math,failures_math,famrel_math,freetime_math,goout_math,Dalc_math,Walc_math,health_math,absences_math,G1_math,G2_math,G3_math,traveltime_por,studytime_por,failures_por,famrel_por,freetime_por,goout_por,Dalc_por,Walc_por,health_por,absences_por,G1_por,G2_por,G3_por,school_MS,sex_M,address_U,famsize_LE3,Pstatus_T,Mjob_health,Mjob_other,Mjob_services,Mjob_teacher,Fjob_health,Fjob_other,Fjob_services,Fjob_teacher,schoolsup_math_no,schoolsup_math_yes,schoolsup_por_no,schoolsup_por_yes,famsup_math_no,famsup_math_yes,famsup_por_no,famsup_por_yes,paid_math_no,paid_math_yes,paid_por_no,paid_por_yes,activities_math_no,activities_math_yes,activities_por_no,activities_por_yes,nursery_yes,higher_math_no,higher_math_yes,higher_por_no,higher_por_yes,internet_yes,romantic_math_no,romantic_math_yes,romantic_por_no,romantic_por_yes
15,1,1,2.0,4.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,2.0,7.0,10.0,10.0,2.0,4.0,0.0,3.0,1.0,2.0,1.0,1.0,1.0,4.0,13.0,13.0,13.0,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,False,True,False,True,True,True,False,True,False
15,1,1,1.4447174447174447,2.027027027027027,0.0,3.9484029484029484,3.2334152334152333,3.1056511056511056,1.0,1.0,3.57002457002457,5.641277641277641,10.879606879606879,10.678132678132679,10.343980343980345,3.0,1.0,1.0,5.0,5.0,5.0,1.0,1.0,1.0,2.0,8.0,9.0,9.0,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,True,False,False,False,True,True,False,False,False,True
15,1,1,1.0,2.0,2.0,3.0,3.0,4.0,2.0,4.0,5.0,2.0,8.0,6.0,5.0,1.0,2.0,0.0,3.0,3.0,4.0,2.0,4.0,5.0,2.0,13.0,11.0,11.0,False,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,True,False,True,False,True,True,False,True,False,True,False,True,False,False,False,True,False,True,True,False,True,False,True
15,2,2,1.0,1.0,0.0,4.0,3.0,1.0,1.0,1.0,2.0,8.0,14.0,13.0,13.0,1.0,1.0,0.0,4.0,3.0,1.0,1.0,1.0,2.0,8.0,14.0,13.0,12.0,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,True,False,True,False,True,False,True,True,False,False,True,False,True,True,False,True,False,True,False,True,False,True,False
15,2,4,1.0,3.0,0.0,4.0,3.0,2.0,1.0,1.0,5.0,2.0,10.0,9.0,8.0,1.0,3.0,0.0,4.0,3.0,2.0,1.0,1.0,5.0,2.0,10.0,11.0,10.0,False,False,False,False,True,False,False,True,False,True,False,False,False,False,True,False,True,False,True,False,True,False,True,True,False,False,True,False,True,True,False,True,False,True,True,True,False,True,False
15,3,3,2.0,3.0,2.0,4.0,2.0,1.0,2.0,3.0,3.0,8.0,10.0,10.0,10.0,2.0,3.0,0.0,4.0,2.0,1.0,2.0,3.0,3.0,2.0,13.0,13.0,13.0,False,False,False,False,True,False,False,True,False,False,False,True,False,True,False,True,False,False,True,False,True,False,True,False,True,False,True,False,True,True,False,True,False,True,True,False,True,False,True
15,3,4,1.0,3.0,0.0,4.0,3.0,2.0,1.0,1.0,5.0,2.0,12.0,12.0,11.0,1.0,3.0,0.0,4.0,3.0,2.0,1.0,1.0,5.0,2.0,11.0,12.0,12.0,False,False,False,False,True,False,False,True,False,True,False,False,False,False,True,False,True,False,True,False,True,False,True,True,False,False,True,False,True,True,False,True,False,True,True,True,False,True,False
15,3,4,2.0,3.0,2.0,4.0,2.0,2.0,2.0,2.0,5.0,0.0,12.0,0.0,0.0,2.0,3.0,0.0,4.0,2.0,2.0,2.0,2.0,5.0,0.0,10.0,11.0,12.0,False,False,False,False,True,False,False,True,False,False,False,False,True,True,False,True,False,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,True,False,True,False,True
15,2,2,2.0,2.0,0.0,4.0,1.0,3.0,1.0,3.0,4.0,2.0,8.0,9.0,8.0,2.0,2.0,0.0,4.0,1.0,3.0,1.0,3.0,4.0,0.0,11.0,10.0,11.0,False,False,False,True,True,True,False,False,False,False,False,True,False,False,True,False,True,False,True,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,True,True,False,True,False
15,3,1,2.0,4.0,0.0,4.0,4.0,2.0,2.0,3.0,3.0,12.0,16.0,16.0,16.0,2.0,4.0,0.0,4.0,4.0,2.0,2.0,3.0,3.0,6.0,15.0,15.0,15.0,False,False,False,True,True,False,True,False,False,False,True,False,False,True,False,True,False,False,True,False,True,True,False,True,False,True,False,True,False,False,False,True,False,True,True,True,False,True,False
